School/ Coordinates,County,Biology,Chemistry,Physics,Environmental Science,Engineering,Test,New column
"Central High School 
2110 IL-94 
Clayton, IL 62324",Adams,3,3,3,N/A,N/A,*****,
"Payson-Seymour High School 
 420 W Brainard St
Payson, IL 62360",Adams,3,1,3,1,N/A,*****,
"Quincy Notre Dame High School 
 1400 S 11th St
Quincy, IL 62301",Adams,3,3,3,3,N/A,*****,
"Greenville High School
1000 Illinois 140
Greenville, IL 62246",Bond,3,3,3,N/A,N/A,*****,
"Brown County High School 
500 East Main
Mount Sterling, IL  62353",Brown,3,3,3,2,N/A,*****,
"West Caroll High School 
500 Cragmoor Street
Savanna, IL 61074",Carroll,1,2,0,1,N/A,*****,
"A-C Central Junior High School 
 601 W Buchanan St
Ashland, IL 62612",Cass,1,3,3,3,N/A,*****,
"Centennial High School 
913 Crescent Dr
Champaign, IL 61821",Champaign,3,3,3,3,N/A,*****,
"Champaign Centennial High School
913 S. Crescent Dr.
Champaign, IL 61821",Champaign,0,0,3,0,N/A,*****,
"Champaign Central High School 
610 W University Ave
Champaign, IL 61820",Champaign,1,1,3,3,N/A,*****,
"Flora High School 
600 S Locust St
Flora, IL 62839",Clay,3,1,3,N/A,N/A,*****,
"Centralia High School 
2100 E Calumet St 
Centralia, IL 62801",Clinton,3,3,3,3,N/A,*****,
"Carlyle High School 
1461 Twelfth St
Carlyle, IL 62231",Clinton,3,2,3,3,N/A,*****,
"Central Community High School 
7740 Old U.S. 50
Breese, IL 62230",Clinton,3,1,3,N/A,3,*****,
"Wesclin High School 
10003 IL-160
Trenton, IL 62293",Clinton,2,3,3,1,N/A,*****,
"Arcola High School 
351 West Washington Street
Arcola, IL 61910",Coles,0,2,3,1,N/A,*****,
"Charleston High School 
1615 Lincoln Ave 
Charleston, IL 61920",Coles,3,3,3,3,N/A,*****,
"Mattoon High School
2521 Walnut Ave
Mattoon, IL 61938",Coles,1,3,3,1,N/A,*****,
"Lincoln Park High School 
2001 North Orchard Street
Chicago, IL 60614",Cook,2,3,3,1,N/A,*****,
"Lindblom Math and Science Academy 
6130 S. Wolcott Avenue 
Chicago, IL 60636",Cook,3,3,3,3,2,*****,
"Northside College Preparatory 
5501 N. Kedzie Ave.
Chicago, IL 60625",Cook,1,3,3,3,N/A,*****,
"Blue Ridge High School 
411 N John St
Farmer City, IL 61842",DeWitt,1,1,3,1,N/A,*****,
"Clinton High School 
1200 IL-54
Clinton, IL 61727",DeWitt,1,3,3,3,N/A,*****,
"Atwood Hammond High School 
222 W Magnolia St
Atwood, IL 61913",Douglas,1,3,3,3,N/A,*****,
"Villa Grove High School 
400 N Sycamore St, Villa Grove, IL 61956",Douglas,2,3,3,N/A,N/A,*****,
"Willowbrook High School 
1250 S. Ardmore Avenue
Villa Park, IL 60181",DuPage,3,3,3,3,N/A,*****,
"Effingham High School
1301 W Grove
Effingham, IL 62401",Effingham,1,1,1,1,N/A,*****,
"Effingham Junior High School
600 S. Henrietta
Effingham, IL 62401",Effingham,1,1,1,1,N/A,*****,
"Brownston Jr/Sr. High School 
421 S College Ave, Brownstown, IL 62418",Fayette,2,2,3,N/A,N/A,*****,
"Paxton-buckley-loda High School
700 W Orleans St
Paxton, IL, 60957",Ford,3,3,3,N/A,N/A,*****,
"Benton Consolidated High School
900 N. Cherry St., West Frankfort, IL. 62896",Franklin,1,1,3,N/A,N/A,*****,
"Farmington Central High School 
310 S Lightfooft Rd.
Farmington, IL 61531",Fulton,3,3,3,N/A,0,*****,
"North Greene High School 
546 N Main St
White Hall, IL 62092",Greene,3,3,3,N/A,N/A,*****,
"Dwight Township High School 
801 S. Franklin St. 
Dwight, IL 60420",Grundy,3,0,3,N/A,N/A,*****,
"Mercer County High School 
307 East Scott Street
Seneca, IL  61360",Grundy,3,3,3,N/A,N/A,*****,
"Minooka Community High School 
301 S. Wabena Avenue
Minooka, IL 60447",Grundy,3,2,3,3,N/A,*****,
"Morris Community High School 
1000 Union St
Morris, IL 60450",Grundy,3,3,3,3,N/A,*****,
"Seneca High School 
307 East Scott Street
Seneca, IL  61360",Grundy,3,3,3,0,N/A,*****,
"Norris City High School 
Norris City, IL 62869",Hamilton,N/A,3,3,3,N/A,*****,
"Illini West High School 
600 Miller St.
Carthage, IL  62321",Handcock,3,0,3,0,N/A,*****,
"Iroquois West High School 
529 E. Second 
Gilman, IL 60938",Iroquois,0,3,3,0,N/A,*****,
"Carbondale Community High School 
1301 E Walnut St, Carbondale, IL 62901",Jackson,2,3,3,N/A,2,*****,
"Centralia High School 
2100 E Calumet St 
Centralia, IL 62801",Jefferson,3,3,3,3,N/A,*****,
"Galena High School 
1206 N. Franklin
Galena, IL 61036",Jo Daviess,1,2,3,3,N/A,*****,
"River Ridge High School 
4141 Illinois 84
Hanover, IL 61041",Jo Daviess,1,N/A,3,3,N/A,*****,
"Geneva Community High School 
416 McKinley Avenue  
Geneva, IL 60134",Kane,1,2,3,3,N/A,*****,
"Hampshire High School 
1600 Big Timber Rd. 
Hampshire, IL 60140",Kane,2,1,1,1,1,*****,
"Metea Valley High School 
1801 N Eola Rd
Aurora, IL 60502",Kane,2,3,3,N/A,3,*****,
"Bradley-Bourbonnais High School 
700 West North Street
Bradley, IL 60915",Kankakee,3,3,3,0,N/A,*****,
"Kankakee High School 
40 Warren Avenue
Kankakee, IL 60901",Kankakee,3,0,3,0,N/A,*****,
"Oswego East High School 
1525 HARVEY ROAD
Oswego, IL",Kendall,3,1,3,N/A,N/A,*****,
"Abington-Avon High School 
401 W. Latimer St.
Abingdon, IL 61410",Knox,3,0,3,3,N/A,*****,
"Knoxville High School 
809 E Main St
Knoxville, IL 61448",Knox,3,3,3,N/A,N/A,*****,
"Marquette Academy 
1000 Paul Street, 
Ottawa, IL 61350",La Salle,1,3,1,N/A,N/A,*****,
"Woodland High School 
 5800 E 3000 North Rd
Streator, IL  61364",La Salle,3,3,3,N/A,N/A,*****,
"Adlai E. Stevenson H.S
1 Stevenson Drive 
Lincolnshire, IL 60069",Lake,3,3,3,3,N/A,*****,
"South Lake High 
15600 Silver Eagle Rd 
Groveland, IL 34736",Lake,3,1,3,1,N/A,*****,
"Pontiac Township High School 
1100 E Indiana Ave
Pontiac, IL 61764",Livingston,3,0,3,3,N/A,*****,
"Lincoln Community High School 
1000 Primm Rd
Lincoln, IL 62656",Logan,3,3,3,3,N/A,*****,
"Maroa-Forsyth High School
610 W Washington Street Rd
Maroa, IL 61756",Macon,3,3,3,1,N/A,*****,
"Centralia High School 
2100 E Calumet St 
Centralia, IL 62801",Marion,3,3,3,3,N/A,*****,
"Henry Senachwine High School 
1023 College Avenue
Henry, IL 61537",Marshall,1,1,2,1,N/A,*****,
"Midland High School 
1830 IL-17
Varna, IL 61375",Marshall,1,1,3,3,N/A,*****,
"Midwest Central High School 
Manito, IL 61546",Mason,0,0,3,3,N/A,*****,
"West Prairie High School 
18575 E 800th St
Sciota, IL 61475",McDonough,0,3,3,0,N/A,*****,
"Hall High School 
800 W. Erie St. 
Spring Valley, IL",McHenry,1,3,3,3,N/A,*****,
"Lexington High School 
202 E. Greenwich
Lexington, IL 61753",McLean,3,3,3,N/A,N/A,*****,
"Olympia High School 
7832 N 100 East Rd
Stanford, IL 61774 - 9494",McLean,3,3,3,1,N/A,*****,
"University High School 
500 W Gregory Street
Normal, IL 61790",McLean,1,3,3,3,3,*****,
"Athens Junior High School 
1 Warrior Way
Athens, IL 62613",Menard,3,1,3,3,N/A,*****,
"Porta Junior High School 
17651 Bluejay Rd
Petersburg, IL 62675",Menard,3,3,3,0,N/A,*****,
"Tiopia Junior-Senior High School 
2204 Concord Arenzville Rd
Concord, IL 62631",Morgan,1,3,3,1,N/A,*****,
"Rochelle Township High School 
1401 Flagg Road
Rochelle, IL 61068",Ogle,1,3,3,3,1,*****,
"Rochelle Township High School 
1401 Flagg Road
Rochelle, IL 61068",Ogle,1,3,3,1,N/A,*****,
"Dunlap High School 
5220 West Legion Hall Road. 
Dunalp, IL, 61525",Peoria,3,3,3,0,N/A,*****,
"Illinois Valley Central High School 
1300 W. Sycamore Street
Chillicothe, IL 61523",Peoria,3,0,3,3,N/A,*****,
"Peoria High School 
1615 N. North Street
Peoria, IL 61604",Peoria,3,3,3,3,3,*****,
"Bement High School 
 201 S Champaign St
Bement, IL 61813",Piatt,3,3,3,3,N/A,*****,
"Monticello High School 
1 Sage Dr
Monticello, IL 61856",Piatt,3,3,3,3,N/A,*****,
"Williamsville High School 
900 Walnut Rd
Williamsville, IL 62693",Sangamon,3,3,3,3,N/A,*****,
"Rushville-Industry High School 
730 N Congress St
Rushville, IL 62681",Schuyler,3,3,3,1,N/A,*****,
"Lebanon High School 
Lebanon, IL 62254",St. Clair,3,3,3,N/A,N/A,*****,
"Mascoutah High School 
Mascoutah CUSD #19, 1313 W Main St
Mascoutah, IL",St. Clair,3,3,3,2,N/A,*****,
"Stark County High School 
300 W. Van Buren
Wyoming, IL 61491",Stark,1,1,3,1,N/A,*****,
"East Peoria Community High School 
1401 E. Washington St
East Peoria IL 61611",Tazewell,3,3,3,3,N/A,*****,
"Morton High School  
350 N Illinois Ave
 Morton, IL 61550",Tazewell,1,3,3,3,1,*****,
"Tremont High School 
400 W Pearl St
Tremont, IL 61568",Tazewell,1,3,3,3,N/A,*****,
"Armstrong High School 
Armstrong, IL 61812",Vermilion,1,1,3,1,N/A,*****,
"Bismarck-Henning High School 
17268 E 2750 North Rd
Bismarck, IL 61814",Vermilion,1,3,3,3,N/A,*****,
"Hoopeston Area High School 
 615 E Orange St
Hoopeston, IL 60942",Vermilion,2,3,3,N/A,1,*****,
"Westville High School 
918 N State St
Westville, IL 61883",Vermilion,3,1,3,3,N/A,*****,
"Mt. Carmel High School
201 Pear Street 
Mt. Carmel, IL 62863",Wabash,0,0,1,0,N/A,*****,
"Monmouth High School 
105 North E Street
Monmouth, IL 61462",Warren,2,3,3,N/A,N/A,*****,
"Centralia High School 
2100 E Calumet St 
Centralia, IL 62801",Washington,3,3,3,3,N/A,*****,
"Okawville Jr/Sr High School
400 S Hanover St
Okawville, IL 62271",Washington,0,1,2,0,N/A,*****,
"Fairfield Community High School 
300 W. King Street
Fairfield, Illinois 62837",Wayne,3,3,3,N/A,N/A,*****,
"Fullerton High School 
1207 12th Ave.
 Fulton, IL 61252",Whiteside,0,0,3,0,N/A,*****,
"Rock Falls High School 
101 12th Avenue 
Rock Falls, IL",Whiteside,3,2,2,2,N/A,*****,
"Herrin High School
700 N. 10th St.
Herrin, IL 62948",Williamson,2,2,1,N/A,N/A,*****,
"Johnston City High School
1500 Jefferson Ave
Johnston City, IL 62951",Williamson,3,3,2,2,,*****,
"Jefferson High School 
4145 Samuelson Road
Rockford, IL 61109",Winnebago,2,2,1,N/A,N/A,*****,
"Rockford East High School 
2929 Charles Street
Rockford, IL 61108",Winnebago,3,1,2,2,N/A,*****,
"Reed- Custer High School 
249 Comet Drive
Braidwood, IL",Wood,3,3,1,N/A,N/A,*****,
"Summit Hill High School 
20100 S. Spruce Drive
Frankfort, IL 60423",Wood,0,3,3,0,N/A,*****,
"Fieldcrest High School 
1 Dornbush Drive
Minonk, IL 61760",Woodford,3,3,3,0,N/A,*****,
"Metamora Township High School 
101 W Madison St
Metamora, IL, 61548",Woodford,3,3,3,N/A,N/A,*****,
,,,,,,,*****,
